Site,Type,Latitude,Longitude,22000-21000,21000-20000,20000-19000,19000-18000,18000-17000,17000-16000,16000-15000,15000-14000,14000-13000,13000-12000,12000-11000,11000-10000,10000-9000,9000-8000,8000-7000,7000-6000,6000-5000,5000-4000,4000-3000,3000-2000,2000-1000,1000-present
Axe Lake,Pollen,45.38,-79.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814625366667,1.15516356867,3.4058500485,1.93197329725,2.785612116,3.60530553067,4.685676906,6.161137441,
Brophy Ditch,Pollen,43.22,-81.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24796748,0,0.892857143,0,0,
Tourbi̬re Caribou,Pollen,47.639722,-71.235833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.303538175,1.56212418067,0,0,
Comb Lake,Pollen,49.69,-57.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890868597,0,
Cranberry Lake,Pollen,44.1,-78.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31461494667,
Crates Lake,Pollen,49.183333,-81.266667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854700855,0,
Crawford Lake,Pollen,43.5,-79.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08695231633,
Tourbi̬re de Farnham,Pollen,45.282778,-72.982778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227790433,0.528825031,0.430684669,0,9.302325581,9.719626168,13.96303901,11.96428571,11.19402985,
Frenchmens Bay,Pollen,43.82,-79.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.25,25.711583415,3.47826087,
Georgian Bay  Lake Huron (2),Pollen,45.17,-81.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gravel Ridge,Pollen,55.033333,-62.633333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303951368,0,
Green Point Pond,Pollen,49.67,-57.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,
Harrie Lake,Pollen,52.933333,-66.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29154519,
Hawke Hills Kettle,Pollen,47.322222,-53.133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877192982,0,0,0,0,
Tourbi̬re de Lanoraie HENRI,Pollen,45.988889,-73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243678569,0.594059406,3.0681892335,1.054216867,0,
Humber Pond 7,Pollen,43.65,-79.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5069351778,1.948051948,2.8799730605,0.4762012745,
Joes Pond,Pollen,48.24,-58.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497512438,0,0.497512438,0.4985173888,0.498349835,0.5926442408,
Lake CH2,Pollen,49.683333,-74.583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190114068,0,0,
Lake EC2,Pollen,56.023333,-74.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118273211,0,0,0,0,0,
Lake GB1,Pollen,55.110833,-75.248889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107123728,0,0.144822592,0,0,
Leading Tickles,Pollen,49.471389,-55.473056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154798762,0,0,0.198807157,0,0,0,0,
Lac Martyne,Pollen,56.783333,-64.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309283263,0,0,
McLaughlan Lake,Pollen,45.363333,-76.554167,0,0,0,0,0,0,0,0,0,0,0,0,4.090909091,0,0.849635459,0,0,0,0,0,0,0,
Moraine Lake,Pollen,52.266667,-58.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067249496,0,0,0,0,0,
Lac Ouellet,Pollen,47.532778,-68.943889,0,0,0,0,0,0,0,0,0,0,0,0.132450331,0.171232877,0,0.3726482315,0,0.5209609425,0.868941884,0.948245818,3.6534158825,6.5403990935,3.8040547735,
Parkhill Creek,Pollen,43.18,-81.75,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,
Peatsah Section,Pollen,43.33,-79.82,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,
Perch Lake,Pollen,46.03,-77.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1511892135,1.6452991455,
Lac Pluvieux,Pollen,47.843889,-69.352778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164744646,0,0.92936803,0,0,0,0,
Portage Bog,Pollen,46.673611,-64.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404821803,0.460829493,0,0.905051498,0.463002658,2.4263336296,4.90331341445,4.69050931564,3.270604746,
Rose Swamp,Pollen,44.18,-79.44,0,0,0,0,0,0,0,0,0,0,0,0,0.649350649,0.6484239265,2.011791889,7.717041801,6.774193548,4.929577465,6.333333333,4.113924051,0,2.47670053333,
LD Lake,Pollen,50.140278,-67.131944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578034682,0,0.808625337,0.4748762075,0.639759911667,0.324675325,0,
Tonawa Lake,Pollen,44.85,-77.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.915662651,6.1966714965,6.25,0,0,
Lac Turcotte,Pollen,49.157778,-65.762778,0,0,0,0,0,0,0,0,0,0,0,0.757575758,0,0,0,0,0.237529691,0.1956007,1.038961039,0.5996313745,0,0,
Weslemkoon Lake,Pollen,45.033333,-77.433333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489000478,1.64859550033,1.79495883482,1.4810349655,3.94543995533,5.12298932267,4.923801204,3.194761504,
Whitney's Gulch,Pollen,51.516667,-57.3,0,0,0,0,0,0,0,0,0,0,0,0,1.01010101,0,0,0,0,0,0,0,0,0.280112045,
Found Lake,Pollen,45.55,-78.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230946882,0.3242219715,1.216162824,2.624671916,0.535714286,3.9378997865,7.30858425633,4.49724371833,
Bass Pond,Pollen,50.71505,-57.374385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3719991415,0,0,
Twiss Marl Pond,Pollen,43.44083,-79.95551,0,0,0,0,0,0,0,0,0,0,0,0,0.31152648,0.649350649,0.332225914,0.643086817,0,0,0,0.3093794325,0,0,
Rice Lake,Pollen,44.199085,-78.14232,0,0,0,0,0,0,0,0,0,0,0.793650794,0,0,1.589528976,10.60794045,14.84866647,0,4.04235092017,7.56883706662,12.8080213437,4.11751975227,0,
McGinnis Lake,Pollen,44.607495,-78.039815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.762430939,
Dugas Bay Bog,Pollen,46.31027699,-79.38083626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.851851825,0,0,0,
Kilbride Swamp,Pollen,43.46458333,-79.91541667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487804878,0,0.995024876,0,0,0,0,0,0,
Mark Pond,Pollen,51.83986111,-89.61541667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666667,
Preston Lake,Pollen,43.98690278,-79.37944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.267716535,12.8466578444,26.5888216383,15.1233517806,3.0317611614,
Webbs Lake,Pollen,44.16706667,-78.1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.49056604,0,
Lovesick Lake,Pollen,44.55680556,-78.22479722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08780435233,6.58592381167,6.7416698995,
Hell's Kitchen Lake,Pollen,46.183333,-89.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3003003,0.277885749667,0.37517852,
Anderson Pond,Pollen,36.03015,-85.50132,0,0,0.642054575,0,0.938967136,0.3082069895,1.409706589,1.154255533,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2818512605,
