Site,Type,Latitude,Longitude,22000-21000,21000-20000,20000-19000,19000-18000,18000-17000,17000-16000,16000-15000,15000-14000,14000-13000,13000-12000,12000-11000,11000-10000,10000-9000,9000-8000,8000-7000,7000-6000,6000-5000,5000-4000,4000-3000,3000-2000,2000-1000,1000-present
Bondi Section,Pollen,42.088056,-82.6375,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Boone Lake,Pollen,55.575,-119.433333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179533214,0,
Compass Pond,Pollen,50.034167,-56.196389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286532951,0,0,
Cranberry Lake,Pollen,44.1,-78.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
Crawford Lake,Pollen,43.5,-79.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233263068,0,
Ennadai Lake  1972 Site,Pollen,61.244444,-100.951389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Grenadier Pond,Pollen,43.64,-79.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3210479665,0,0,
Little Lake (CA:Nova Scotia),Pollen,44.668056,-63.938889,0,0,0,0,0,0,0,0,0.720720721,1.315789474,0,0.4557492475,0,0,0,0,0,0,0,0,0,0,
Mayflower Lake,Pollen,45.302778,-66.070833,0,0,0,0,0,0,0,0,0,0,0,0.5617628315,0,0,0,0,0,0,0,0,0,0,
Lac M̩l̬ze,Pollen,65.216667,-126.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189393939,0,0,0,0,
Pasqua Lake,Pollen,50.78,-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519091599,
Point Escuminac,Pollen,47.075,-64.8,0,0,0,0,0,0,0,0,0,0,0.297619048,0,0,0,0,0,0,0,0,0,0,0,
Snowshoe Lake,Pollen,57.45,-120.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326797386,0,0.330033003,0,0,0,0,0,0,
Spring Lake (CA:British Columbia),Pollen,55.511389,-119.583333,0,0,0,0,0,0,0,0,0,0,0.169624917333,0.318037150667,0,0.364963504,0,0.2837362795,0,0,0,0.362976407,0.386847195,0.196463654,
Tonawa Lake,Pollen,44.85,-77.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210970464,0,0.29154519,0.318471338,0.274725275,0.327868852,0,0.31152648,0.283286119,
Rice Lake,Pollen,44.199085,-78.14232,0,0,0,0,0,0,0,0,0,0,0,0,0.2685677715,0.1930286475,0.5093210634,0.182803949333,0.468178054167,0.177462289,0,0.238663484,0.290902469,0.2274376114,
McGinnis Lake,Pollen,44.607495,-78.039815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260416667,0,0,
