Site,Type,Latitude,Longitude,22000-21000,21000-20000,20000-19000,19000-18000,18000-17000,17000-16000,16000-15000,15000-14000,14000-13000,13000-12000,12000-11000,11000-10000,10000-9000,9000-8000,8000-7000,7000-6000,6000-5000,5000-4000,4000-3000,3000-2000,2000-1000,1000-present
Decoy Lake,Pollen,43.233333,-80.366667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.604920405,0,0,0,0,0,0,0,
Eagle Lake,Pollen,53.233333,-58.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343642612,0,0,0,0,0,
East Baltic Bog,Pollen,46.408333,-62.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641259455,0.883116883,0,0.460986128,0.436681223,0,0.836820084,0.446428571,0.285714286,
Edward Lake,Pollen,44.37,-80.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.669683256,
Beaverhouse Lake,Pollen,54.742222,-101.681667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7961679368,0.247946138,0,0,0.067521945,0,0.115605331667,0.119047619,0.145605204,
Georgian Bay  Lake Huron (1),Pollen,44.74,-80.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jones Lake [Glenboro site],Pollen,49.448,-99.28965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129943503,0.655737705,0.950570342,1.0566776634,0.954653938,0,0,0,
Marais de Keswick,Pollen,44.195833,-79.512778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.244635812,2.97438610206,4.186795491,0,
L'Anse aux Meadows Site,Pollen,51.573333,-55.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190839695,0.191946704,0,
Sud du Lac du Noyer,Pollen,46.787778,-72.837778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492610837,1.719349239,1.643192488,0,0,1.532033426,0,0.451467269,
Lac Mimi,Pollen,47.496944,-70.375833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278551532,0,0.78125,0,
Pasqua Lake,Pollen,50.78,-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4765483065,
Vall̩e de l'Albion,Pollen,45.670833,-71.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.755267423,0,0,1.44,0,0,0,0.422903801,
Saint-Francois de Sales,Pollen,48.293889,-72.146944,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,
Crawford Bog,Pollen,43.46652778,-79.94916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.903867725,5.16647253,0,0,0,0,0,0,
Fire Lake,Pollen,52.331985,-67.35709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,
Roulston Lake (MS-78-15),Pollen,46.89451,-67.4,0,0,0,0,0,0,0,0,0,0,0.278551532,0,0.288600289,0.281690141,0,0.872093023,1.106311349,0.818542482,0.877192982,1.010056121,0,0.6007293985,
Rice Lake,Pollen,44.199085,-78.14232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.724511931,3.478415605,0,0,0,0,
Webbs Lake,Pollen,44.16706667,-78.1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.830917874,0,
Beckman Lake,Pollen,45.425,-93.183333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.141361257,
Camel Lake,Pollen,30.266667,-85.016667,0,0,0,0,0,0,0,0,0,0,1.110531945,1.43899852367,0,0,0,0,0,0,0,0,0,0,
Cheyenne Bottoms,Pollen,38.466667,-98.666667,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.501253133,0,0.4102196615,0.258397933,0.268096515,0.27100271,0.27027027,0.262467192,0.265957447,
Clear Pond,Pollen,33.798895,-78.95336,0,0,0,0,1.016518424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cottonwood Lake,Pollen,44.6173,-95.68015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41424928557,
Cub Lake,Pollen,44.7,-84.958333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.519756839,0,3.177570093,0,0.778816199,1.79023654,1.412324904,2.91392994143,4.5337987345,
Hansen Marsh,Pollen,43.439585,-89.670815,0,0,0,0,0,0,0,0,0.675675676,0,0,0,0,0,0,0,0,0,0,0,0,0,
Langdale Pond,Pollen,30.641667,-83.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877192982,0,0,0,0,0,0,0,0,
Lily Lake (US:Minnesota),Pollen,45.05,-92.825,0,0,0,0,0,0,0,2.222222222,1.401869159,1.094890511,0.830564784,3.5023916095,15.2451212933,17.744755245,8.10932975167,5.067567568,3.389830508,1.57480315,1.186717493,3.1796582755,2.297868254,2.9966190725,
Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7),Pollen,26.481111,-80.415556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6007130125,
Mansell Pond,Pollen,45.041667,-68.733333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482728872,0,0,0,
Mashapaug Pond,Pollen,41.783333,-71.433333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.607717042,0.79606968225,0,
Moon Lake,Pollen,46.85592,-98.15984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816326531,0.979761789667,
Myrtle Lake,Pollen,47.982605,-93.3853,0,0,0,0,0,0,0,0,0,0,0,0.425531915,0,0,0,0,0,0,0,0,0,0,
Lake West Okoboji,Pollen,43.333333,-95.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.389830508,
Ruby Lake,Pollen,45.283333,-91.458333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.339415518,
Sherd Lake,Pollen,44.2697,-107.01237,0,0,0,0,0,0,0,0,0,0.336700337,0,0,0,0,0,0,0,0.332225914,0,0,0,0,
Spruce Pond,Pollen,41.239444,-74.204167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.076923077,0,0,0,
Sutherland Pond,Pollen,41.391389,-74.037778,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571,1.15942029,0,0,0,0,0,0,0,0,
Volo Bog,Pollen,42.35154,-88.18475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.144542773,0,0,0,0,0,0,0,
Little Salt Spring,Pollen,27.075,-82.23333333,0,0,0,0,0,0,0,0,0,0,0,0.784313725,0,0.477326969,1.282051282,0,0,0,0,0,1.333333333,0,
Round Grove Lake,Pollen,44.709,-94.4935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97043829418,
Ziebell Lake,Pollen,46.05545,-95.26345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58764153685,
Lybeck Lake,Pollen,45.6745,-95.7125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74913415769,
Kimble Pond,Pollen,44.21895,-93.84015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9495307805,0,0,0,0,
Irwin Smith Bog,Pollen,45.0265,-83.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.369863014,0,0,0,0,0,
Fallison Lake,Pollen,45.9915,-89.62075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566572238,1.061007958,0.979579912167,
Devils Lake  Creel Bay,Pollen,48.0859,-98.92935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tower Lake,Pollen,46.542635,-86.037795,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5342465755,0.576553964,0,0.302114804,0,0,0,0,0,
Kelly-Dudley Lake,Pollen,44.354435,-93.365935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.038585209,3.761353589,4.3645838985,1.566579634,1.9164963455,1.9726865522,1.69549614314,
Crystal Lake,Pollen,42.234015,-88.357005,0,0,0,0,0,0,0.6189896675,0.71588229075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bear Lake,Pollen,41.98435,-111.33339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fort Bragg (core PAW2),Pollen,35.173545,-79.089805,0,0,0,0,0,0,0,0,0,0,0.4116047415,0.372862510667,0.314465409,0.469483568,0,0.293255132,0.602409639,0,0,0.377358491,1.115241636,0,
Chesapeake Bay (MD99-2207),Pollen,38.03027778,-76.21444444,0,0,0,0,0,0.643086817,0,0,0,0,0,0,0,0,0,0,0.318471338,0.617283951,0,0,0,0,
Caddo Creek (Core 1),Pollen,32.043605,-95.505225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2120578255,2.086800666,1.089977501,
Emrick Lake,Pollen,43.800155,-89.59428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.742160279,
Stewart Bog,Pollen,35.832,-105.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331125828,0,0,0,
Lily Pond,Pollen,42.417875,-72.34693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763956372,0.781977000222,
Mountain Lake,Pollen,37.78826,-122.470765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266668563,
Chalco Lake,Pollen,19.5,-99,0,0,0,0,0.877192982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
