Site,Type,Latitude,Longitude,22000-21000,21000-20000,20000-19000,19000-18000,18000-17000,17000-16000,16000-15000,15000-14000,14000-13000,13000-12000,12000-11000,11000-10000,10000-9000,9000-8000,8000-7000,7000-6000,6000-5000,5000-4000,4000-3000,3000-2000,2000-1000,1000-present
Maligne Lake,Pollen,52.733333,-117.616667,0,0,0,0,0,0,0,0,0,0,0,0,0,5.432098765,7.86170709467,0,0,0,0,0,0,0,
Mayflower Lake,Pollen,45.38986111,-79.21652778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.312335958,0,0,0,0,0,0,0,
McMaster Lake,Pollen,64.133333,-110.583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6816302645,4.635761589,2.43902439,0,0,3.1189213085,2.492211838,0.8175557585,
Moraine Lake,Pollen,71.86,-124.47,0,0,0,0,0,0,0,0,0,5.955477356,8.20764865683,6.9405883648,21.64536486,19.1706824375,21.0465116275,20.578769146,13.999192358,10.4085490142,17.3630772256,7.12139797983,5.10998454686,7.64108149886,
Nutt Lake,Pollen,45.216667,-79.45,0,0,0,0,0,0,0,0,0,0,0,0,0.08841733,0.331481403,0.211429883667,0.09258864,0.086132644,0,0.090252708,0.1144961195,0,0.101317123,
Northwest River Pond,Pollen,53.516667,-60.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.65217391,15.9999649672,7.57475365,5.3264881425,6.5034251304,6.00551405117,
Oliver Pond,Pollen,48.422222,-89.323889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.333333333,0,0,0,0,0,0,
Paradise Lake,Pollen,53.05,-57.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4492957567,34.49367089,0,1.230769231,0,
Pass Lake,Pollen,48.56,-88.74,0,0,0,0,0,0,0,0,0,0,0,0,1.279750033,0,0,0,0,0,0,0,0,0,
Perch Lake,Pollen,46.03,-77.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.787456446,0,0,0,0,0,11.79039301,14.65084462,
Pitcher Bog,Pollen,44.82,-79.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7710628855,1.0870590984,0.3684996725,1.31346172975,
Porqui Pond,Pollen,44.93,-79.78,0,0,0,0,0,0,0,0,1.0,0,3.5,1.995049505,0,0,0,0,0,0,0,0,0,0,
Queens Lake,Pollen,64.116667,-110.566667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251256281,1.885468221,5.71455398688,4.15168947114,3.73086782917,3.91991534767,2.9561266405,3.2559793145,3.4738544475,
