Site,Type,Latitude,Longitude,22000-21000,21000-20000,20000-19000,19000-18000,18000-17000,17000-16000,16000-15000,15000-14000,14000-13000,13000-12000,12000-11000,11000-10000,10000-9000,9000-8000,8000-7000,7000-6000,6000-5000,5000-4000,4000-3000,3000-2000,2000-1000,1000-present
Antelope Playa,Pollen,43.5,-105.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561797753,0,0,1.041666667,
Cottonwood Lake,Pollen,44.835435,-99.90806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5588099125,1.67379741,0,0,4.431599229,0.31936488175,0,0,0,
Swan Lake,Pollen,28.04246,-97.171305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480769231,1.536914173,0.474683544,0,0,0,0,0.709219858,
