Site,Type,Latitude,Longitude,22000-21000,21000-20000,20000-19000,19000-18000,18000-17000,17000-16000,16000-15000,15000-14000,14000-13000,13000-12000,12000-11000,11000-10000,10000-9000,9000-8000,8000-7000,7000-6000,6000-5000,5000-4000,4000-3000,3000-2000,2000-1000,1000-present
Lac Montagnais,Pollen,47.907778,-71.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621118012,0,0,0.793650794,
Cora Lake,Pollen,46.165285,-95.32412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3078819655,
Rock Lake,Pollen,60.45365,-150.2538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306278714,
Qually Pond,Pollen,47.683165,-96.20294,0,0,0,0,0,0,0,0,0,0.395061728,0,0,0,0,0.09557945,0,0,0,0,0,0,0,
Grizzly Lake,Pollen,62.71064,-144.197185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630914826,0,0,0,0,0,
